id,time,message
534643398792081411,1416303894123,#win one of 5 make your own hamper kits from @thebasketco over at @mummyvswork  #MVWXMAScountdown http:\/\/t.co\/xmWDpjvXmG
534643403783294976,1416303895313,RT @Thomasnguyen_: just downloaded justin biebers christmas album doe
534643406530949120,1416303895968,So N1 will be available next year for $249. This Christmas: similar looking Chinese Android tablet with Z Launcher $99. See my point?
534643413812256768,1416303897704,Are you still deciding what to do this Christmas? x http:\/\/t.co\/EvJ4m4IZrA
534643416273940480,1416303898291,RT @SolidKathNielPH: \u201C@reymadeveza: Juicy Cologne endorser Kathryn Bernardo shares Christmas wish: Good health lang po.\ http:\/\/t.co\/XEC5Cc\u2026
534643419071913984,1416303898958,RT @Debenhams: To win a Kenwood kMix mixer &amp,De\u2019Longhi kettle tell us what you'll create in the kitchen this Christmas! #TuesdayTreat http:\/\u2026
534643422704205824,1416303899824,RT @naomilomax: Went to get stationary to make Christmas cards with and found a new member of the family...Mr Moose! @greenandstone http:\/\/\u2026
534643425048817664,1416303900383,RT @beckywhitepr: Blogger @LizaPrideaux features @lalalanduk and @FlamingoCandles in her Christmas Gift Guide! &gt,&gt,http:\/\/t.co\/gfcMA8I5tg htt\u2026
534643427938287617,1416303901072,We're only 25 mins out of London - very handy for weekend Christmas shopping trip&amp, to escape hurly burly of London http:\/\/t.co\/1tAT5gt72U
534643429926387712,1416303901546,Late night Christmas shopping on Chiltern Street &gt,&gt, http:\/\/t.co\/H9HJAgFGWT http:\/\/t.co\/SkDgBztf8M
534643434293067776,1416303902587,RT @BroadgateLondon: Celebrate Christmas on ice! #SkateintheCity at our newly opened ice rink near @NetworkRailLST http:\/\/t.co\/Sa2GQ6863e h\u2026
534643438269255681,1416303903535,Смотри официальное promo видео фестиваля Record Christmas в Москве хедлайнером которого станет DJ №1 - @HARDWELL! https:\/\/t.co\/RVNNCqawqN
534643441737535488,1416303904362,Will you be a winner? http:\/\/t.co\/IDrjpMava6 via @KiddyCharts #giveaways #Christmas #blogging
534643442908147712,1416303904641,#Christmas is well and truly here at #DeanMorrisCards Naughty Santa 🎅💦 http:\/\/t.co\/lf0yrc07Qe
534643446309744640,1416303905452,RT @ongoTM: Looking to organise your Christmas in North Lincs? Handy summary here.... thanks @ScunthorpeNight http:\/\/t.co\/Sf5LgOsn9t #Chris\u2026
534643448021000192,1416303905860,RT @sportparadise: #Robocop #Bluray http:\/\/t.co\/ckIjV47tSI #gift #christmas countdown #movie #amazoncart
